Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Grindrite,"Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105911420/grindrite,3.8,-1,Sport,5.11b,1,100,37.52751,-118.57443
"Vomit Launch","(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789348/vomit-launch,3.8,-1,Sport,5.11b,1,,44.36719,-121.14307
"Red Zinger","The Cookie Cliff > h. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106026258/red-zinger,3.8,-1,Trad,5.11+,1,100,37.71772,-119.71881
Endgame,"End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105901424/endgame,3.7,-1,Trad,5.10a/b,5,600,31.9275,-109.9785
Voyager,"Fifi Buttress > Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109039598/voyager,3.7,-1,Trad,5.11c,7,700,37.71073,-119.65013
"Wild at Heart","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106447069/wild-at-heart,3.8,-1,Sport,5.11a,1,,37.50881,-88.69216
"Breakfast Burrito","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081922/breakfast-burrito,3.7,-1,Sport,5.10c,1,80,37.65292,-83.72495
"Hung Like a Horse","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105754141/hung-like-a-horse,3.8,-1,Trad,5.11a,1,,41.17386,-105.35395
"Quadrophenia AKA Bara Bara","Hurricane Crag > C: Keene Region > Adirondacks > New York",https://www.mountainproject.com/route/106197345/quadrophenia-aka-bara-bara,3.8,-1,Trad,"5.7+ PG13",4,350,44.21541,-73.69944
"No Place Like Home","Emerald City > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870227/no-place-like-home,3.8,-1,Sport,5.11c,1,100,37.75195,-83.66364
Ricochet,"The Winchester Cave > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753373/ricochet,3.8,-1,Sport,5.12a,1,85,39.71774,-107.69191
"Unimpeachable Groping","Ginger Buttress > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732431/unimpeachable-groping,3.4,-1,Sport,5.10b,7,760,36.11213,-115.48829
"The Fracture","East Face > Sugarloaf > Sugarloaf Area > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875824/the-fracture,3.8,-1,Trad,5.10d,1,,38.77622,-120.30784
Culp-Bossier,"Hallett Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105763911/culp-bossier,3.6,-1,"Trad, Alpine",5.8+,8,,40.3033,-105.686
"The Beast Flake","The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105919971/the-beast-flake,3.8,-1,Trad,5.9,1,,44.06298,-71.1656
Dreamscape,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105979968/dreamscape,3.8,-1,Sport,5.11c,1,75,34.18041,-85.81555
"The Winsloner","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106180004/the-winsloner,3.8,-1,Sport,5.11c,1,100,34.94209,-110.6632
"Enter the Dragon","Dragon Arch > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106613481/enter-the-dragon,3.8,-1,Trad,5.11-,3,300,40.57426,-111.76793
"Spring Break","Sunnyside Crags > 09-Icebox Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732887/spring-break,3.8,-1,Trad,5.11+,1,70,36.145,-115.49403
"1/2 Route","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717895/12-route,3.7,-1,Sport,5.10+,1,80,37.45133,-113.16338
"O'Kelley's Crack","Rusty Wall > Echo Rock Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722353/okelleys-crack,3.7,-1,Trad,5.11a,1,60,34.03212,-116.17216
"Crest Jewel (and Crest Jewel Direct)","North Dome > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862890/crest-jewel-and-crest-jewel-direct,3.7,-1,"Trad, Sport","5.10 R",15,,37.75785,-119.56213
Sparerib,"Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961561/sparerib,3.8,-1,Trad,5.8,2,225,45.4196,-111.2293
"Touchstone Wall","Cerberus Gendarme > Zion National Park > Utah",https://www.mountainproject.com/route/105717787/touchstone-wall,3.6,-1,"Trad, Aid","5.9 C2",8,820,37.27435,-112.94437
"Max Factor","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751717/max-factor,3.8,-1,Trad,5.11c,2,,41.15478,-105.37467
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"Captain Beyond","Mickey Mouse Wall > Eldorado Mountain > Boulder > Colorado",https://www.mountainproject.com/route/105751744/captain-beyond,3.8,-1,Trad,5.10+,5,,39.91977,-105.2853
"EKV: Exo-atmospheric Kill Vehicle","Slavery Wall > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956405/ekv-exo-atmospheric-kill-vehicle,3.8,-1,Sport,5.12c,1,85,44.13247,-107.25718
"Penny Lane","Penny Lane > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105842825/penny-lane,3.6,-1,Trad,5.9,1,100,49.7049,-123.1378
"Original Route","The Mace > Cathedral Rock Area > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105788086/original-route,3.6,-1,Trad,5.9+,5,400,34.81836,-111.7913
"The Delicate Sound of Thunder","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732488/the-delicate-sound-of-thunder,3.8,-1,Trad,5.11b,2,200,36.03509,-115.46345
"Bishops Terrace","Church Bowl > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105872317/bishops-terrace,3.6,-1,Trad,5.8,1,150,37.74908,-119.58015
Turnkorner,"Sundance Buttress > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105750163/turnkorner,3.8,-1,Trad,5.10b,7,,40.41269,-105.5516
"Center Route","Rincon - Center Route & R > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105750400/center-route,3.8,-1,Trad,5.11a/b,3,,39.93423,-105.28939
"Reptile Tears","The Brown Wall > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106126019/reptile-tears,3.8,-1,Trad,5.10+,1,100,39.1994,-105.21801
"Belle Fourche Buttress","East and Northeast Buttress Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715499/belle-fourche-buttress,3.9,-1,Trad,5.10b,2,150,44.5911,-104.71442
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",3,250,44.37053,-121.14363
"The Prow","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105795099/the-prow,3.8,-1,Trad,5.11a,1,,35.13763,-112.02421
"CCK Direct","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801940/cck-direct,3.8,-1,Trad,"5.9 PG13",2,240,41.74396,-74.17964
"Freaky Stylee","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106293356/freaky-stylee,3.8,-1,Sport,5.12a,1,70,38.05569,-81.06276
"Goodro's Wall","Storm Mountain Island > Storm Mountain Picnic Area > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105739892/goodros-wall,3.7,-1,Trad,5.10c,1,,40.6239,-111.7446
"Coffindaffer's Dream","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768795/coffindaffers-dream,3.8,-1,Sport,5.11-,1,90,38.14336,-80.91556
"The Flying Buttress","Mt. Meeker > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105756781/the-flying-buttress,3.7,-1,"Trad, Alpine",5.10,6,,40.2486,-105.604
"Wicked Gravity","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108226533/wicked-gravity,3.8,-1,Sport,5.11a,1,88,51.4076,-116.2405
"Johnny Cat","Cat Wall > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105883364/johnny-cat,3.8,-1,Trad,5.11+,1,50,38.09105,-109.56277
"McTech Arete","Crescent Spire > The Bugaboos > Purcell Mountains > Columbia Mountains > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105872943/mctech-arete,3.7,-1,"Trad, Alpine",5.10-,6,500,50.74999,-116.7767
"Wages of Skin","Gong Show Wall > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106097731/wages-of-skin,3.8,-1,Trad,5.10+,1,80,37.5096,-118.7179
"Kor-Ingalls Route","Castleton Tower > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717289/kor-ingalls-route,3.4,-1,Trad,5.9+,4,,38.651,-109.3678
"Welcome to the Gunks","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799065/welcome-to-the-gunks,3.8,-1,Trad,"5.10b PG13",1,95,41.73936,-74.18421
"Bombs over Tokyo (1st pitch)","West Face > Daff Dome > Daff Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106141398/bombs-over-tokyo-1st-pitch,3.8,-1,Trad,5.10c,1,80,37.8795,-119.41345
"Iron Horse","Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105903139/iron-horse,3.8,-1,Trad,5.11d,1,120,47.81847,-121.57139
"Animal Magnetism","Upper Animal World > Animal World > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753505/animal-magnetism,3.8,-1,Sport,5.11c,1,110,39.99846,-105.41397
"Fiddler on the Roof","Black Velvet Wall > 16-Black Velvet Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732248/fiddler-on-the-roof,3.6,-1,Trad,5.10+,7,500,36.03518,-115.46652
"Choke Cherry Eyes","Cowboy King Wall > Aspen Glade > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106811748/choke-cherry-eyes,3.8,-1,Sport,5.12a,1,70,42.5928,-108.7408
"West Face","Leaning Tower > Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106187777/west-face,3.6,-1,"Trad, Aid","5.7 C2",11,1000,37.71281,-119.64769
"Traveler Buttress","Main Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105812520/traveler-buttress,3.6,-1,Trad,5.9,4,500,38.80006,-120.13522
Warpaint,"Westworld Dome > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738263/warpaint,3.8,-1,Trad,"5.10c PG13",5,680,31.93522,-109.99091
"Check Your Grip","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081909/check-your-grip,3.8,-1,Sport,5.12a,1,80,37.65292,-83.72495
Cerberus,"Tricouni Nail/Cerberus > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714761/cerberus,3.8,-1,Trad,5.8,1,70,43.84004,-103.53593
Wangerbanger,"Rusty Wall > Echo Rock Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722356/wangerbanger,3.8,-1,Trad,5.11c,1,60,34.03212,-116.17216
"4 x 4","4X4 > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105718387/4-x-4,3.8,-1,Trad,5.11-,1,80,38.0733,-109.5813
"From Chocolate to Morphine","Faulty Tower > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880524/from-chocolate-to-morphine,3.8,-1,Sport,5.11d,1,110,37.51367,-118.57129
"Upper Diagonal","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730598/upper-diagonal,3.8,-1,"Trad, TR",5.9,1,,43.41359,-89.71252
"Top Sirloin","2nd Meat Wall > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105718297/top-sirloin,3.8,-1,Trad,5.11,1,115,38.1302,-109.5862
"Super Best Friends","The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106852348/super-best-friends,3.8,-1,Sport,5.12b,1,95,37.73372,-83.63884
"West Ridge","Prusik Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105808527/west-ridge,3.5,-1,"Trad, Alpine",5.7,4,400,47.48786,-120.78373
"A Brief History of Climb","The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106125070/a-brief-history-of-climb,3.7,-1,Sport,5.10b,1,75,37.65292,-83.71772
"Ro Shampo","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860759/ro-shampo,3.7,-1,Sport,5.12a,1,60,37.7334,-83.6591
Abiyoyo,"The Solarium > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106978712/abiyoyo,3.8,-1,Sport,5.12b,1,95,37.73372,-83.63884
Sundance,"Sunshine Face - Right Side > (k) Sunshine Face > Suicide Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105788132/sundance,3.8,-1,Trad,5.10b,3,300,33.76989,-116.69436
Bongeater,"Bongeater Buttress > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105741173/bongeater,3.7,-1,Trad,5.10d,1,80,40.5747,-111.7734
"Over the Hill","Rincon - L of Center Route > Rincon > Eldorado Canyon SP > Boulder > Colorado",https://www.mountainproject.com/route/105756796/over-the-hill,3.7,-1,Trad,5.10b,2,,39.93435,-105.28993
